occurrence_count	color_value	files
1	rgba(255, 255, 255, 0.95)	frontend/styles/ai-studio-modals.css
1	rgba(255, 80, 80, 0.3)	frontend/styles/ai-studio-modals.css
1	rgba(255, 90, 90, 0.45)	frontend/styles/ai-studio-canvas.css
1	rgba(3, 8, 18, 0.9)	frontend/styles/ai-studio-layout.css
1	rgba(30, 64, 175, 0.3)	frontend/styles/ai-studio-layout.css
1	rgba(31, 43, 51, 0.32)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(32, 18, 18, 0.5)	frontend/styles/ai-studio-layout.css
1	rgba(32, 18, 18, 0.6)	frontend/styles/ai-studio-layout.css
1	rgba(33, 39, 50, 0.503)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(34, 211, 238, 0.2)	frontend/styles/ai-studio-layout.css
1	rgba(34, 37, 44, 0.8)	frontend/styles/ai-studio-controls.css
1	rgba(34, 37, 44, 0.9)	frontend/styles/ai-studio-prompts.css
1	rgba(36, 40, 48, 0.7)	frontend/styles/ai-studio-controls.css
1	rgba(37, 168, 191, 0.25)	frontend/styles/ai-studio-prompts.css
1	rgba(37, 169, 191, 0.1)	frontend/styles/ai-studio-controls.css
1	rgba(37, 169, 191, 0.3)	frontend/styles/ai-studio-controls.css
1	rgba(37, 169, 191, 0.55)	frontend/styles/ai-studio-reference-properties.css
1	rgba(37, 169, 191, 0.7)	frontend/styles/ai-studio-layout.css
1	rgba(37, 169, 191, 0.8)	frontend/styles/ai-studio-controls.css
1	rgba(37, 169, 191, 0.9)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(4, 183, 135, 0.8)	frontend/styles/ai-studio-controls.css
1	rgba(4, 183, 135, 0.9)	frontend/styles/ai-studio-controls.css
1	rgba(4, 183, 135, 0.95)	frontend/styles/ai-studio-controls.css
1	rgba(40, 44, 52, 0.95)	frontend/styles/ai-studio-prompts.css
1	rgba(46, 52, 60, 0.85)	frontend/styles/ai-studio-controls.css
1	rgba(5, 150, 105, 0.34)	frontend/styles/ai-studio-layout.css
1	rgba(5, 7, 13, 0.55)	frontend/styles/ai-studio-model-picker.css
1	rgba(52, 200, 255, 0.08)	frontend/styles/ai-studio-canvas.css
1	rgba(52, 200, 255, 0.1)	frontend/styles/ai-studio-modals.css
1	rgba(52, 200, 255, 0.45)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(52, 200, 255, 0.6)	frontend/styles/ai-studio-modals.css
1	rgba(52, 200, 255, 0.7)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(52, 200, 255, 0.8)	frontend/styles/ai-studio-modals.css
1	rgba(52, 200, 255, 0.82)	frontend/styles/ai-studio-prompt-actions.css
1	rgba(52, 201, 255, 0.176)	frontend/styles/ai-studio-layout.css
1	rgba(52, 211, 153, 0.2)	frontend/styles/ai-studio-layout.css
1	rgba(6, 10, 16, 0.85)	frontend/styles/ai-studio-modals.css
1	rgba(6, 182, 212, 0.35)	frontend/styles/ai-studio-layout.css
1	rgba(6, 9, 13, 0.65)	frontend/styles/ai-studio-modals.css
1	rgba(6, 95, 70, 0.32)	frontend/styles/ai-studio-layout.css
1	rgba(7, 12, 18, 0.8)	frontend/styles/ai-studio-prompts.css
1	rgba(76, 140, 255, 0.18)	frontend/styles/ai-studio-canvas.css
1	rgba(76, 140, 255, 0.35)	frontend/styles/ai-studio-history.css
1	rgba(76, 225, 255, 0.1)	frontend/styles/ai-studio-canvas.css
1	rgba(8, 12, 18, 0.95)	frontend/styles/ai-studio-model-picker.css
1	rgba(9, 12, 20, 0.9)	frontend/styles/ai-studio-controls.css
1	rgba(99, 158, 157, 0.199)	frontend/styles/ai-studio-prompt-actions.css
