occurrence_count	color_value	files
4	rgba(255, 255, 255, 0.32)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
4	rgba(255, 255, 255, 0.5)	frontend/styles/ai-studio-modals.css
4	rgba(37, 169, 191, 0.4)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
4	rgba(4, 183, 135, 0.96)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
3	#000000	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
3	#0b1820	frontend/styles/ai-studio-prompt-actions.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
3	#131518	frontend/styles/ai-studio-layout.css
3	#25a9bf	frontend/styles/ai-studio-prompt-actions.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
3	#34d399	frontend/styles/ai-studio-layout.css
3	#6ee7b7	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-layout.css
3	#e10328	frontend/styles/ai-studio-layout.css
3	#eef2f7	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-controls.css
3	#f43f5e	frontend/styles/ai-studio-layout.css
3	#f5b754	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-layout.css
3	#f6a637	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-layout.css
3	#f7fafc	frontend/styles/ai-studio-controls.css
3	#fbbf24	frontend/styles/ai-studio-layout.css
3	#ffb6b6	frontend/styles/ai-studio-modals.css
3	rgba(0, 0, 0, 0.25)	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-layout.css
3	rgba(0, 0, 0, 0.42)	frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-layout.css, frontend/styles/ai-studio-controls.css
3	rgba(0, 0, 0, 0.55)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-modals.css
3	rgba(12, 15, 22, 0.82)	frontend/styles/ai-studio-controls.css
3	rgba(14, 213, 100, 0.658)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
3	rgba(201, 205, 214, 0.14)	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-canvas.css
3	rgba(216, 230, 243, 0.7)	frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-controls.css
3	rgba(245, 185, 66, 0.6)	frontend/styles/ai-studio-controls.css
3	rgba(255, 140, 66, 0.8)	frontend/styles/ai-studio-controls.css
3	rgba(255, 153, 153, 0.12)	frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-canvas.css
3	rgba(255, 255, 255, 0.03)	frontend/styles/ai-studio-modals.css, frontend/styles/ai-studio-model-picker.css
3	rgba(255, 255, 255, 0.04)	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-model-picker.css
3	rgba(255, 255, 255, 0.14)	frontend/styles/ai-studio-model-picker.css
3	rgba(37, 169, 191, 0.45)	frontend/styles/ai-studio-canvas.css, frontend/styles/ai-studio-controls.css
3	rgba(37, 169, 191, 0.5)	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-controls.css
3	rgba(37, 169, 191, 0.65)	frontend/styles/ai-studio-prompts.css
3	rgba(48, 52, 60, 0.95)	frontend/styles/ai-studio-prompts.css
3	rgba(52, 200, 255, 0.2)	frontend/styles/ai-studio-modals.css
3	rgba(52, 200, 255, 0.35)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-modals.css
3	rgba(52, 200, 255, 0.9)	frontend/styles/ai-studio-canvas.css
3	rgba(62, 68, 78, 0.95)	frontend/styles/ai-studio-prompts.css
3	rgba(7, 143, 64, 0.34)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-controls.css
3	rgba(76, 140, 255, 0.12)	frontend/styles/ai-studio-history.css, frontend/styles/ai-studio-canvas.css
2	#059669	frontend/styles/ai-studio-layout.css
2	#06b6d4	frontend/styles/ai-studio-layout.css
2	#0f766e	frontend/styles/ai-studio-layout.css
2	#2563eb	frontend/styles/ai-studio-layout.css
2	#25bf96b9	frontend/styles/ai-studio-prompt-actions.css
2	#25bfa567	frontend/styles/ai-studio-prompt-actions.css
2	#25bfa5bb	frontend/styles/ai-studio-prompt-actions.css
2	#2efffc19	frontend/styles/ai-studio-prompt-actions.css
2	#5a616526	frontend/styles/ai-studio-model-picker.css
2	#b32ba9	frontend/styles/ai-studio-layout.css
2	#d8e6f3	frontend/styles/ai-studio-model-picker.css
2	#dfe8f5	frontend/styles/ai-studio-coming-soon.css, frontend/styles/ai-studio-layout.css
2	#f1f5ff	frontend/styles/ai-studio-reference-properties.css
2	#f5c36f	frontend/styles/ai-studio-prompts.css, frontend/styles/ai-studio-layout.css
2	#f8f8f8	frontend/styles/ai-studio-properties.css
2	rgba(0, 0, 0, 0.24)	frontend/styles/ai-studio-reference-properties.css, frontend/styles/ai-studio-layout.css
2	rgba(0, 0, 0, 0.32)	frontend/styles/ai-studio-model-picker.css, frontend/styles/ai-studio-controls.css
2	rgba(0, 0, 0, 0.45)	frontend/styles/ai-studio-model-picker.css
2	rgba(0, 0, 0, 0.6)	frontend/styles/ai-studio-modals.css
